rental_id,addr_zip,income
7236931,11226,48495.0
7331920,10013,106056.0
7139224,10022,133208.0
7364827,10018,107861.0
7242151,11216,56025.0
7171210,10025,82352.0
7286986,11372,53963.0
7418503,11102,60436.0
7304773,10036,93707.0
7180240,10022,133208.0
7199509,11377,54989.0
7374106,11211,66113.0
7211146,10031,44040.0
7205032,11237,51269.0
7303381,10032,41890.0
7257553,11221,47170.0
7371094,11205,51574.0
7386616,11223,46310.0
7161667,10021,123842.0
7256881,10025,82352.0
7201810,10003,104441.0
7352875,10023,123951.0
7287667,11206,34122.0
7324255,10025,82352.0
7323214,11206,34122.0
7265221,11222,78287.0
7179904,10019,99063.0
7421611,11221,47170.0
7364581,10010,115084.0
7239721,11201,116446.0
7351903,10013,106056.0
7164979,11206,34122.0
7389550,10021,123842.0
7262875,11106,60725.0
7371415,10128,111937.0
7367173,11104,63122.0
7235236,11213,40604.0
7326532,11211,66113.0
7410124,11209,69578.0
7175173,10128,111937.0
7184137,11201,116446.0
7159567,10032,41890.0
7200025,10004,140450.0
7181437,11233,36009.0
7412260,11217,99085.0
7140403,11231,93575.0
7395718,10036,93707.0
7343419,11354,44512.0
7320955,11209,69578.0
7395505,11106,60725.0
7341928,10017,118469.0
7170238,10014,127973.0
7347454,10467,35381.0
7382386,10040,47189.0
7249885,10069,137105.0
7414300,10036,93707.0
7279090,10038,85032.0
7147204,11220,42559.0
7220263,11103,65229.0
7137427,11231,93575.0
7191532,10012,104561.0
7239130,10016,109250.0
7252690,11102,60436.0
7305112,10069,137105.0
7397647,10463,58881.0
7244281,11103,65229.0
7344901,10031,44040.0
7382026,10030,36118.0
7254490,11231,93575.0
7248922,10016,109250.0
7353118,11221,47170.0
7308130,10011,123208.0
7378009,10001,85221.0
7314175,11222,78287.0
7326499,11209,69578.0
7210456,10036,93707.0
7151521,11230,46013.0
7328593,11211,66113.0
7236883,11215,116893.0
7195981,11222,78287.0
7181947,10027,45536.0
7419415,10021,123842.0
7165456,11211,66113.0
7383331,10014,127973.0
7323484,10009,60521.0
7153825,11211,66113.0
7205380,11210,62202.0
7242331,11222,78287.0
7133134,11238,79013.0
7418464,10027,45536.0
7423156,10128,111937.0
7211044,10013,106056.0
7213555,11103,65229.0
7334731,10040,47189.0
7285741,10463,58881.0
7314721,10065,124322.0
7367617,11105,68050.0
7331053,10019,99063.0
7322611,11103,65229.0
7423579,10025,82352.0
7416625,11215,116893.0
7183054,11205,51574.0
7340149,11375,76467.0
7371136,11219,37665.0
7157605,10019,99063.0
7426936,11249,
7160587,11103,65229.0
7280734,10025,82352.0
7366231,11237,51269.0
7331536,11379,79573.0
7277710,10075,129594.0
7330510,11209,69578.0
7373005,11213,40604.0
7320787,10003,104441.0
7235665,11385,64481.0
7354066,10024,126107.0
7234915,10011,123208.0
7280350,11102,60436.0
7260340,10065,124322.0
7300306,11221,47170.0
7181605,11211,66113.0
7259629,10016,109250.0
7208527,11231,93575.0
7135345,11237,51269.0
7241947,10011,123208.0
7149808,11223,46310.0
7355338,10022,133208.0
7207225,10012,104561.0
7194709,10011,123208.0
7352932,11211,66113.0
7222852,10024,126107.0
7323106,11226,48495.0
7135606,10005,154213.0
7195360,11215,116893.0
7343749,11106,60725.0
7150582,10023,123951.0
7276876,10016,109250.0
7358887,10003,104441.0
7391542,11233,36009.0
7326664,10011,123208.0
7278895,10003,104441.0
7390633,11201,116446.0
7364170,11214,53151.0
7210282,10032,41890.0
7349080,10014,127973.0
7193086,11238,79013.0
